Ids,Sentiment,Sarcasm,Vulgar,Abuse,Target,OCR
Hindi_image_115.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,Political,राहुल आंधी गुरुवार को अटल जी को देखने गया अटल जी २४ घण्टे में स्वर्ग को गए जय ललिता को देखने गया २४ घण्टे में वो भी गुजर गई करुणानिधि को देखने गया वो भी २४ घण्टे में निकल लिए लालू यादव अस्पताल में घबराये कही मुझे देखने न आ जायेंट हुए है
Hindi_image_1150.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"ABP News stating facts

बादल की वजह से
बारिश होती है

Kaa baat kar rhe hain"
Hindi_image_1151.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,The man who took singing to a new level
Hindi_image_1152.jpg,Negative,Sarcastic,Vulgar,Non-abusive,Social Sub-groups,Family man single man 
Hindi_image_1154.jpg,Negative,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,मुझे गर्व है बेटा तुम पे! ! िल्कुल मेरे दिखाए दए रास्ते पर चल रहे हो
Hindi_image_1155.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Individual,"YOU
V/s 
The Guy She
Told you not to
worry about"
Hindi_image_1157.jpg,Negative,Sarcastic,Vulgar,Non-abusive,Social Sub-groups,"हवस के नाम पर होठ से होठ भी मिला लेते हैं वो लोग, जिन्हे नीची जाती के हाथों से पानी पीना तक पसंद नहीं है..!! JH BeHCRR SIIDHU"
Hindi_image_1158.jpg,Negative,Non-Sarcastic,Vulgar,Non-abusive,Gender,"Ye dikh iski
ammako land hain"
Hindi_image_116.jpg,Positive,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,"#JokeScoff

ये घर के बाहर इतनी भीड़ क्यों लगी है ?
कुछ नही, मैंने पड़ोसियों से कहा कि,
हमारे दामाद आ रहे है मुंबई से ...
तो इसमें इतनी भीड़ कैसी ?
अरे जानू, मैं English सिख रही हुँ न,
इसलीये मैंने ये बात English में कही ...
क्या कहा तुमने English में ?
मैंने कहा की आज हमारे घर
Sunny Leone आ रहे है।
भगवान के लिये बंध कर अपनी ये
अंग्रेजी ...
उसे Sunny Leone नहीं, Son-in-law कहते है

पति
क्या हुआ ? 6

पत्नी

पति
पत्नी

पति
पत्नी

पति"
Hindi_image_1164.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Social Sub-groups,"HOW GIRLS CHECK OUT GUYS

HOW GUYS CHECK OUT GIRLS"
Hindi_image_1168.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Gender,Student: Maam why gandhiji has no hair on his head? Techer Because of intelligence Student: Now understood why girls have long hair!
Hindi_image_1169.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Individual,"Exactly 10A.M aaj mera breakup hogya

SUNA HAI YAHA KISİ KA BREAKUP HOGAYA HAI
AUR WO BAHOT TAKLEEF MAI HAI"
Hindi_image_117.jpg,Neutral,Sarcastic,Vulgar,Non-abusive,Gender,रोड पे इतने गड्ढे हो गए है कि घर जाने के बाद और धक्के सहन नही होते| एक एक्टिवा चालक भाभी|
Hindi_image_1170.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,bakwaas karte rehna chaiye yaar man laga rehta hai
Hindi_image_1172.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"Ye Dekho 1 Rupye Wala Video Bhai 1 Rupya Change Nahi Hai bewakoof.com Ye Le 4GB Memory Card With 1000 Videos, Nikaal mera 1000 Ka Note .!! for more fun join us nttpsः//www facebook. com/SaleChutiya"
Hindi_image_1173.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,"*Posts a slightly Offensive joke Foreigner Lmao. Thats some dark shit bro ` India: Oye admin, teri ma ki chut bhadve"
Hindi_image_1174.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Others,"8 SEMESTERS,48 SUBJECTS

ONE NOTEBOOK"
Hindi_image_1178.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,"chup kar
chudail dimag
mat kha padhne
de mera exam hai"
Hindi_image_1179.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Others,"सुप्रभात

आपकी खुशियों
के पल कभी
SHURU ना हो

आपका दिन MANHOOSहो"
Hindi_image_118.jpg,Neutral,Non-Sarcastic,Vulgar,Abusive,Gender,"सुहाग रात में;
बिल्डर: तेरे होंठ
डुप्लेक्स जैसे हैं,
फिगर लैंडस्केप
गार्डन की तरह है।

बीवी: अब भूमि-पूजन भी
करोगे या मज़दूर बुलाऊँ।"
Hindi_image_1181.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Gender,"बहुत शांति है

लगता है लडकियां

Bartan maanj rahi

है"
Hindi_image_1182.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,Sale Chutiya 
Hindi_image_1183.jpg,Positive,Non-Sarcastic,Non Vulgar,Abusive,Individual,"UPSC टॉपर Kanishak Kataria ने गर्लफ्रेंड को दिया अपनी
सफलता का श्रेय

le His GF :-"
Hindi_image_1185.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Individual,"Saans leti hu toh
कुलदेव रुष्ट hojate hai"
Hindi_image_1186.jpg,Negative,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,OR JANEMAN KAISI HO
Hindi_image_1187.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,NA
Hindi_image_1188.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,"No Bitch

I WILL NOT PLAY ""SUN RAHA HAI NAA
TU""

NO BITCH"
Hindi_image_119.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,"पठान नौकरानी को, तुम बेगम सेज्यादा मज़ा देती हो""| नौकरानीः हजूर, ये तो आपकी ज़र्रा नवाजी है[ वर्ना सारे नौकर तो कहते हैं कि बेगम ज्यादा मज़ा देती हैl"
Hindi_image_1190.jpg,Negative,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,damn what happen !! ! she knew my fb password
Hindi_image_1192.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,None,MAR MARKE GAAND SUJA DUNGA BHOSDIKE
Hindi_image_1195.jpg,Negative,Sarcastic,Vulgar,Non-abusive,Individual, Woh hawa ho qave dekhte dekhte
Hindi_image_1196.jpg,Negative,Non-Sarcastic,Non Vulgar,Non-abusive,Individual, ASHLEEL HAI YE LAUHDN!
Hindi_image_1197.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,Others,HOW CHILDREN USED TO SPEND THEIR TIME 90'$ NOW!!!!!!
Hindi_image_1198.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"When my friend says "" chal Bhai PubG
uninstall marte h "" !
Garud Puraan mein Iske liye
alag sazaa hain ..."
Hindi_image_1199.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,None,"हसदे चेहरा दा मतलाब एह
नहीं हुंडा की ओहना नु कोई
तकलीफ नही हुंडी"
Hindi_image_120.jpg,Neutral,Sarcastic,Vulgar,Abusive,Gender,"संता : जेल कैसे
आना हुआ ?
बंता : वो पडोशन
रोज बडे प्यार से
कहती थी ...
आदाब ...
आदाब ...

एक दिन दबा ही दिये"
Hindi_image_1203.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Others,"मछली जल की रानी है
दारू के साथ खानी है"
Hindi_image_1204.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"One man, many Characters
Ab ghodo ki race me gadhe bhi daugenge"
Hindi_image_1205.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual,"Acha byy Mummy
chilla rahi hai ...

Toh papa ko bol dhere
kare Bhenchoo ..."
Hindi_image_1207.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,Chup kar chudail
Hindi_image_1209.jpg,Negative,Sarcastic,Vulgar,Non-abusive,Individual,ये दू मुंह में तेरे?
Hindi_image_1210.jpg,Negative,Sarcastic,Vulgar,Non-abusive,None,NA
Hindi_image_1211.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,None,Is sajjan ko kya takleef hai bhai?
Hindi_image_1212.jpg,Negative,Non-Sarcastic,Vulgar,Non-abusive,Individual,"अपनी गर्लफ्रेंड का mood जानने के लिए
पहले एक दबाएं ...

mood अच्छा हो तो dono
दबाएं ..! "
Hindi_image_1213.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,"ek din main suddenly tum sab
bkl ko apne mental peace ke liye
cut off kardunga phir kisi sundar
or mujhe apni bahon main rone
dene wali ladki ke sath shadi kar
ke sukoon ki zindagi guzarun ga
phir tum sab ko mere memes na
milne ki wajah se depression
hojayega or sab kutte ki maut
maroge"
Hindi_image_1214.jpg,Negative,Non-Sarcastic,Non Vulgar,Non-abusive,Gender,Ae Pagal Aurat
Hindi_image_1215.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,"Bigboss Chutiye
Dekhte hai"
Hindi_image_1218.jpg,Negative,Non-Sarcastic,Vulgar,Non-abusive,None,How fast can you guess these words? 1. BOO_S 2.__ NDOM. 3. F__ K 4. P_N_S 5. PU_S_ 6. S_X Answers :1. BOOKS 2. RANDOM 3. FORK 4.PANTS 5. PULSE 6.SIX.you got all 6 wrong didn t You? You  dirty minded freak!
Hindi_image_1221.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,None,"Hum C.I.D Se Hain
Apko good night bolne aaye hai"
Hindi_image_1223.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"माँ-बाप की आँखों के तारे हो तुम
किसी ghaaiu के लिए टूट मत जाना"
Hindi_image_1224.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,None,"Dear, Haha Reactors I Love You
Milo Kabhi, Chai Paani Peete Hai!"
Hindi_image_1226.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Political,ऐ भाई देखो ऐसे नही बोलने का
Hindi_image_1227.jpg,Negative,Sarcastic,Vulgar,Non-abusive,Individual,Late kyu aaye ho? Wo zra Medical store pe ruk gya tha That Smile
Hindi_image_1228.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Individual,"बेटा तुम भरी
जवानी में पागल
हो चुके हो ...."
Hindi_image_1229.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Religion,"Your Honor, mera client
begunah hai

Unhone pahle hi kah diya tha
""my attitud£ depends on your
personality"""
Hindi_image_123.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender,"टीचर - आज मैं तुमको Noun पढ़ाऊंगी

टीचर - पप्पू तू खड़ा हो

पप्पू - जी मैडम

टीचर - लड़की सबसे हंस के बात करती है
इसमें लड़की क्या है?

पप्पू - जी लड़की बिगड़ी हुई है
सेटिंग करना चाहती है"
Hindi_image_1230.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,National Origin,Other Donit disturb me Kolhapurkar: घाल की तुझी तिकडं. 
Hindi_image_1235.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Political,idhar dard hota he idhar
Hindi_image_1239.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Individual,"चल पगली DANK COMMUNITY
घुमा लाऊ"
Hindi_image_124.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,Others,"Toh type kijiye ..
""I love U (space)
(girlfriend ka naam)""

Aur
Send kare apni Wife ko.

Kasam se Life mein
hungama machh jayega

Kya aapki life bahut boring hai ...?
Agar haa ..."
Hindi_image_1240.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Individual,Jiju ke joote jab saaliyon ne churai to sabhi ne tarif ki Aur jab maine bhabhi ke gahne churaye to sabhi ne koot diya GOUDMINNES
Hindi_image_1241.jpg,Negative,Non-Sarcastic,Vulgar,Non-abusive,Individual,NA
Hindi_image_1242.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,"If I Die

Please Laugh

Then Look At The Sky And say

आरे भाई भाई भाई"
Hindi_image_1243.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Individual,"friend at 12:30 am
nau Kaha ho

using Vpn :-

Vjay Thak

Italy me he Apun"
Hindi_image_1245.jpg,Negative,Sarcastic,Vulgar,Non-abusive,Individual,Barbad @barbad ladka She(on with her boyfriend): Wanna my Pussy tonight? Her cat: call eat
Hindi_image_1246.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,Individual,"IT TOOK ME 5 MINUTES TO
WRITE THAT TEXT

AND ALL YOU SAY IS
""K"""
Hindi_image_1247.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Gender,पुरुष मोह ही नर्क का द्वार है
